UserID,total_courses,total_transactions,total_spending,avg_spending,min_spending,max_spending,avg_course_rating,n_categories,first_enroll,last_enroll,preferred_category,preferred_level,Beginner,Intermediate,Advanced,Age,Gender,enrollment_frequency,diversity_score,category_concentration,beginner_ratio,advanced_ratio,learning_depth_index,recency_days,preferred_category_enc,preferred_level_enc,total_cpd_points,completion_rate,ProfessionType,YearsExperience,Country,Cluster,SegmentName,PCA_1,PCA_2,SilhouetteVal
P0001,7,7,6516.22,930.8885714285715,485.14,1248.07,4.271428571428571,3,2022-02-01,2024-03-07,DCD & Motor Disorders,Advanced,0,3,4,25,Female,0.009138381201044387,3,0.5,0.0,0.5714285714285714,0.7857142857142857,665,2,0,32,0.8571428571428571,Occupational Therapist,24,United Kingdom,2,🔬 Clinical Experts,-2.359928974285039,2.1260596106379483,0.3773950813303667
P0002,15,15,11610.62,774.0413333333333,350.52,1186.02,4.306666666666667,6,2022-02-13,2025-09-15,DCD & Motor Disorders,Intermediate,2,9,4,52,Male,0.011441647597254004,6,0.0,0.13333333333333333,0.26666666666666666,0.5666666666666667,108,2,2,56,0.8666666666666667,Physiotherapist,3,Other,0,🎓 Eager Learners,1.8758511370281297,0.3926798361721778,0.4611800867171706
P0003,4,4,3106.7,776.675,315.94,1292.91,4.25,3,2023-10-04,2025-09-13,DCD & Motor Disorders,Advanced,1,1,2,48,Female,0.005625879043600563,3,0.5,0.25,0.5,0.625,110,2,0,12,0.75,Occupational Therapist,26,South Africa,2,🔬 Clinical Experts,-1.7108130726476294,1.2348226985414863,0.2930497267869909
P0004,5,5,3502.28,700.456,439.42,1103.63,4.0600000000000005,3,2022-06-18,2025-07-05,Classroom Interventions,Intermediate,2,2,1,39,Female,0.004488330341113106,3,0.5,0.4,0.2,0.4,180,1,2,8,0.4,Physiotherapist,3,South Africa,3,👀 Curious Browsers,-1.2555273907906062,-0.4037266701346363,0.16759887588222594
P0005,19,19,11883.82,625.4642105263158,340.91,1413.47,4.4263157894736835,6,2022-01-13,2025-12-03,DCD & Motor Disorders,Beginner,11,6,2,39,Female,0.013370865587614356,6,0.0,0.5789473684210527,0.10526315789473684,0.2631578947368421,29,2,1,28,0.47368421052631576,Kinderkineticist,1,Australia,0,🎓 Eager Learners,1.9495964585316994,-1.1741040799930005,0.5536691531806943
P0006,5,5,5506.52,1101.304,329.19,1497.39,4.32,3,2022-07-27,2025-02-10,DCD & Motor Disorders,Advanced,1,0,4,56,Male,0.005376344086021506,3,0.5,0.2,0.8,0.8,325,2,0,24,0.8,Occupational Therapist,4,South Africa,2,🔬 Clinical Experts,-2.0781845834913955,2.4552416188649717,0.4907995365187643
P0007,6,6,5005.860000000001,834.3100000000001,324.1,1522.28,4.483333333333333,3,2022-11-23,2025-04-28,Assessment & Diagnosis,Advanced,1,2,3,25,Male,0.006756756756756757,3,0.5,0.16666666666666666,0.5,0.6666666666666666,248,0,0,28,1.0,Physiotherapist,16,Australia,2,🔬 Clinical Experts,-1.955632767701973,1.3984197600752906,0.26102963155643805
P0008,10,10,7118.85,711.885,367.23,1341.99,4.46,5,2022-02-14,2025-11-19,Classroom Interventions,Intermediate,3,5,2,49,Female,0.007272727272727273,5,0.16666666666666663,0.3,0.2,0.45,43,1,2,26,0.6,School Psychologist,21,South Africa,0,🎓 Eager Learners,0.7189503796780579,-0.3416033314895021,0.37742400220278477
P0009,20,20,16089.58,804.479,327.47,1268.01,4.1899999999999995,6,2022-05-18,2025-10-14,Fundamental Movement Skills,Intermediate,3,10,7,30,Female,0.016051364365971106,6,0.0,0.15,0.35,0.6,79,3,2,76,0.85,Occupational Therapist,14,South Africa,0,🎓 Eager Learners,2.237825306705565,0.5494270575360289,0.435062053523663
P0010,22,22,14741.53,670.0695454545455,323.64,1251.79,4.254545454545454,6,2022-02-02,2025-12-22,Fundamental Movement Skills,Intermediate,9,11,2,25,Female,0.015492957746478873,6,0.0,0.4090909090909091,0.09090909090909091,0.3409090909090909,10,3,2,48,0.6818181818181818,Physiotherapist,4,Australia,0,🎓 Eager Learners,2.418935193336607,-0.8787144864727497,0.5877705776648268
