Rank,UserID,CourseID,CourseCategory,CourseLevel,CourseType,CourseRating,RecommendationScore,pop_score,cat_score,lvl_score,rating_score,Segment,TargetLevel,MatchReason
1,U0001,C0151,Technology,Intermediate,Video,4.7,0.9715725806451612,0.967741935483871,1.0,1.0,0.925,🚀 Career Climber,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group · Highly rated (4.7★)
2,U0001,C0254,Technology,Intermediate,Live,3.8,0.925,1.0,1.0,1.0,0.7,🚀 Career Climber,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group
3,U0001,C0282,Technology,Intermediate,Hybrid,4.5,0.901008064516129,0.7741935483870968,1.0,1.0,0.875,🚀 Career Climber,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group · Highly rated (4.5★)
4,U0001,C0085,Technology,Intermediate,Live,3.9,0.8925403225806451,0.8709677419354839,1.0,1.0,0.725,🚀 Career Climber,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group
5,U0001,C0123,Technology,Intermediate,Live,4.1,0.8856854838709677,0.8064516129032258,1.0,1.0,0.7749999999999999,🚀 Career Climber,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group · Well rated (4.1★)
6,U0001,C0017,Technology,Intermediate,Video,4.3,0.8788306451612904,0.7419354838709677,1.0,1.0,0.825,🚀 Career Climber,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group · Well rated (4.3★)
7,U0001,C0185,Technology,Intermediate,Hybrid,3.6,0.873790322580645,0.8709677419354839,1.0,1.0,0.65,🚀 Career Climber,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group
8,U0001,C0055,Technology,Intermediate,Video,4.1,0.8566532258064515,0.7096774193548387,1.0,1.0,0.7749999999999999,🚀 Career Climber,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group · Well rated (4.1★)
1,U0002,C0127,Design,Intermediate,Video,4.5,0.825,0.5208333333333334,1.0,1.0,0.875,🔭 Tech Explorer,Intermediate,Matches your Design interest · Perfect Intermediate level fit · Highly rated (4.5★)
2,U0002,C0266,Design,Intermediate,Hybrid,4.4,0.8125000000000001,0.5,1.0,1.0,0.8500000000000001,🔭 Tech Explorer,Intermediate,Matches your Design interest · Perfect Intermediate level fit · Well rated (4.4★)
3,U0002,C0103,Design,Intermediate,Video,4.7,0.8125,0.4375,1.0,1.0,0.925,🔭 Tech Explorer,Intermediate,Matches your Design interest · Perfect Intermediate level fit · Highly rated (4.7★)
4,U0002,C0076,Design,Intermediate,Hybrid,3.8,0.8125,0.625,1.0,1.0,0.7,🔭 Tech Explorer,Intermediate,Matches your Design interest · Perfect Intermediate level fit · Popular in your learner group
5,U0002,C0395,Design,Intermediate,Video,4.7,0.8125,0.4375,1.0,1.0,0.925,🔭 Tech Explorer,Intermediate,Matches your Design interest · Perfect Intermediate level fit · Highly rated (4.7★)
6,U0002,C0238,Design,Intermediate,Video,4.4,0.7999999999999999,0.4583333333333333,1.0,1.0,0.8500000000000001,🔭 Tech Explorer,Intermediate,Matches your Design interest · Perfect Intermediate level fit · Well rated (4.4★)
7,U0002,C0301,Design,Intermediate,Self-Paced,3.9,0.7937500000000001,0.5416666666666666,1.0,1.0,0.725,🔭 Tech Explorer,Intermediate,Matches your Design interest · Perfect Intermediate level fit
8,U0002,C0061,Design,Intermediate,Hybrid,4.8,0.7875000000000001,0.3333333333333333,1.0,1.0,0.95,🔭 Tech Explorer,Intermediate,Matches your Design interest · Perfect Intermediate level fit · Highly rated (4.8★)
1,U0005,C0061,Design,Intermediate,Hybrid,4.8,0.9100806451612904,0.7419354838709677,1.0,1.0,0.95,🚀 Career Climber,Intermediate,Matches your Design interest · Perfect Intermediate level fit · Popular in your learner group · Highly rated (4.8★)
2,U0005,C0103,Design,Intermediate,Video,4.7,0.8747983870967742,0.6451612903225806,1.0,1.0,0.925,🚀 Career Climber,Intermediate,Matches your Design interest · Perfect Intermediate level fit · Popular in your learner group · Highly rated (4.7★)
3,U0005,C0153,Design,Intermediate,Self-Paced,4.3,0.8497983870967742,0.6451612903225806,1.0,1.0,0.825,🚀 Career Climber,Intermediate,Matches your Design interest · Perfect Intermediate level fit · Popular in your learner group · Well rated (4.3★)
4,U0005,C0127,Design,Intermediate,Video,4.5,0.8429435483870968,0.5806451612903226,1.0,1.0,0.875,🚀 Career Climber,Intermediate,Matches your Design interest · Perfect Intermediate level fit · Highly rated (4.5★)
5,U0005,C0395,Design,Intermediate,Video,4.7,0.8360887096774192,0.5161290322580645,1.0,1.0,0.925,🚀 Career Climber,Intermediate,Matches your Design interest · Perfect Intermediate level fit · Highly rated (4.7★)
6,U0005,C0238,Design,Intermediate,Video,4.4,0.8270161290322581,0.5483870967741935,1.0,1.0,0.8500000000000001,🚀 Career Climber,Intermediate,Matches your Design interest · Perfect Intermediate level fit · Well rated (4.4★)
7,U0005,C0029,Design,Intermediate,Video,4.2,0.8241935483870968,0.5806451612903226,1.0,1.0,0.8,🚀 Career Climber,Intermediate,Matches your Design interest · Perfect Intermediate level fit · Well rated (4.2★)
8,U0005,C0301,Design,Intermediate,Self-Paced,3.9,0.7957661290322581,0.5483870967741935,1.0,1.0,0.725,🚀 Career Climber,Intermediate,Matches your Design interest · Perfect Intermediate level fit
1,U0007,C0229,Design,Beginner,Video,4.5,0.8187500000000001,0.5,1.0,1.0,0.875,🌿 Casual Browser,Beginner,Matches your Design interest · Perfect Beginner level fit · Highly rated (4.5★)
2,U0007,C0318,Technology,Beginner,Self-Paced,4.7,0.73125,1.0,0.0,1.0,0.925,🌿 Casual Browser,Beginner,Perfect Beginner level fit · Popular in your learner group · Highly rated (4.7★)
3,U0007,C0122,Technology,Beginner,Hybrid,4.7,0.73125,1.0,0.0,1.0,0.925,🌿 Casual Browser,Beginner,Perfect Beginner level fit · Popular in your learner group · Highly rated (4.7★)
4,U0007,C0200,Design,Beginner,Live,5.0,0.7,0.0,1.0,1.0,1.0,🌿 Casual Browser,Beginner,Matches your Design interest · Perfect Beginner level fit · Highly rated (5.0★)
5,U0007,C0230,Design,Beginner,Self-Paced,5.0,0.7,0.0,1.0,1.0,1.0,🌿 Casual Browser,Beginner,Matches your Design interest · Perfect Beginner level fit · Highly rated (5.0★)
6,U0007,C0259,Design,Beginner,Hybrid,4.9,0.6937500000000001,0.0,1.0,1.0,0.9750000000000001,🌿 Casual Browser,Beginner,Matches your Design interest · Perfect Beginner level fit · Highly rated (4.9★)
7,U0007,C0193,Design,Beginner,Live,4.8,0.6875,0.0,1.0,1.0,0.95,🌿 Casual Browser,Beginner,Matches your Design interest · Perfect Beginner level fit · Highly rated (4.8★)
8,U0007,C0052,Design,Beginner,Live,4.8,0.6875,0.0,1.0,1.0,0.95,🌿 Casual Browser,Beginner,Matches your Design interest · Perfect Beginner level fit · Highly rated (4.8★)
1,U0008,C0192,Technology,Intermediate,Video,4.3,0.85625,0.6666666666666666,1.0,1.0,0.825,🔭 Tech Explorer,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group · Well rated (4.3★)
2,U0008,C0151,Technology,Intermediate,Video,4.7,0.83125,0.5,1.0,1.0,0.925,🔭 Tech Explorer,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Highly rated (4.7★)
3,U0008,C0123,Technology,Intermediate,Live,4.1,0.8312499999999999,0.625,1.0,1.0,0.7749999999999999,🔭 Tech Explorer,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group · Well rated (4.1★)
4,U0008,C0221,Technology,Intermediate,Video,4.4,0.8312499999999999,0.5625,1.0,1.0,0.8500000000000001,🔭 Tech Explorer,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Well rated (4.4★)
5,U0008,C0360,Technology,Intermediate,Video,4.2,0.825,0.5833333333333334,1.0,1.0,0.8,🔭 Tech Explorer,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Well rated (4.2★)
6,U0008,C0312,Technology,Intermediate,Video,4.5,0.825,0.5208333333333334,1.0,1.0,0.875,🔭 Tech Explorer,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Highly rated (4.5★)
7,U0008,C0037,Technology,Intermediate,Self-Paced,4.2,0.8187499999999999,0.5625,1.0,1.0,0.8,🔭 Tech Explorer,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Well rated (4.2★)
8,U0008,C0249,Technology,Intermediate,Live,4.2,0.8125,0.5416666666666666,1.0,1.0,0.8,🔭 Tech Explorer,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Well rated (4.2★)
1,U0009,C0192,Technology,Intermediate,Video,4.3,0.85625,0.6666666666666666,1.0,1.0,0.825,🔭 Tech Explorer,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group · Well rated (4.3★)
2,U0009,C0123,Technology,Intermediate,Live,4.1,0.8312499999999999,0.625,1.0,1.0,0.7749999999999999,🔭 Tech Explorer,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group · Well rated (4.1★)
3,U0009,C0221,Technology,Intermediate,Video,4.4,0.8312499999999999,0.5625,1.0,1.0,0.8500000000000001,🔭 Tech Explorer,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Well rated (4.4★)
4,U0009,C0360,Technology,Intermediate,Video,4.2,0.825,0.5833333333333334,1.0,1.0,0.8,🔭 Tech Explorer,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Well rated (4.2★)
5,U0009,C0312,Technology,Intermediate,Video,4.5,0.825,0.5208333333333334,1.0,1.0,0.875,🔭 Tech Explorer,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Highly rated (4.5★)
6,U0009,C0124,Technology,Intermediate,Live,4.1,0.81875,0.5833333333333334,1.0,1.0,0.7749999999999999,🔭 Tech Explorer,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Well rated (4.1★)
7,U0009,C0037,Technology,Intermediate,Self-Paced,4.2,0.8187499999999999,0.5625,1.0,1.0,0.8,🔭 Tech Explorer,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Well rated (4.2★)
8,U0009,C0249,Technology,Intermediate,Live,4.2,0.8125,0.5416666666666666,1.0,1.0,0.8,🔭 Tech Explorer,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Well rated (4.2★)
1,U0010,C0271,Data Science,Intermediate,Live,5.0,0.9129032258064516,0.7096774193548387,1.0,1.0,1.0,🚀 Career Climber,Intermediate,Matches your Data Science interest · Perfect Intermediate level fit · Popular in your learner group · Highly rated (5.0★)
2,U0010,C0308,Data Science,Intermediate,Video,4.1,0.905040322580645,0.8709677419354839,1.0,1.0,0.7749999999999999,🚀 Career Climber,Intermediate,Matches your Data Science interest · Perfect Intermediate level fit · Popular in your learner group · Well rated (4.1★)
3,U0010,C0315,Data Science,Intermediate,Video,5.0,0.8935483870967742,0.6451612903225806,1.0,1.0,1.0,🚀 Career Climber,Intermediate,Matches your Data Science interest · Perfect Intermediate level fit · Popular in your learner group · Highly rated (5.0★)
4,U0010,C0361,Data Science,Intermediate,Video,4.2,0.8919354838709677,0.8064516129032258,1.0,1.0,0.8,🚀 Career Climber,Intermediate,Matches your Data Science interest · Perfect Intermediate level fit · Popular in your learner group · Well rated (4.2★)
5,U0010,C0338,Data Science,Intermediate,Video,4.6,0.878225806451613,0.6774193548387096,1.0,1.0,0.8999999999999999,🚀 Career Climber,Intermediate,Matches your Data Science interest · Perfect Intermediate level fit · Popular in your learner group · Highly rated (4.6★)
6,U0010,C0251,Data Science,Intermediate,Video,4.4,0.865725806451613,0.6774193548387096,1.0,1.0,0.8500000000000001,🚀 Career Climber,Intermediate,Matches your Data Science interest · Perfect Intermediate level fit · Popular in your learner group · Well rated (4.4★)
7,U0010,C0004,Data Science,Intermediate,Video,3.6,0.8641129032258065,0.8387096774193549,1.0,1.0,0.65,🚀 Career Climber,Intermediate,Matches your Data Science interest · Perfect Intermediate level fit · Popular in your learner group
8,U0010,C0220,Data Science,Intermediate,Video,4.3,0.859475806451613,0.6774193548387096,1.0,1.0,0.825,🚀 Career Climber,Intermediate,Matches your Data Science interest · Perfect Intermediate level fit · Popular in your learner group · Well rated (4.3★)
1,U0011,C0254,Technology,Intermediate,Live,3.8,0.925,1.0,1.0,1.0,0.7,🚀 Career Climber,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group
2,U0011,C0282,Technology,Intermediate,Hybrid,4.5,0.901008064516129,0.7741935483870968,1.0,1.0,0.875,🚀 Career Climber,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group · Highly rated (4.5★)
3,U0011,C0085,Technology,Intermediate,Live,3.9,0.8925403225806451,0.8709677419354839,1.0,1.0,0.725,🚀 Career Climber,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group
4,U0011,C0123,Technology,Intermediate,Live,4.1,0.8856854838709677,0.8064516129032258,1.0,1.0,0.7749999999999999,🚀 Career Climber,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group · Well rated (4.1★)
5,U0011,C0017,Technology,Intermediate,Video,4.3,0.8788306451612904,0.7419354838709677,1.0,1.0,0.825,🚀 Career Climber,Intermediate,Matches your Technology interest · Perfect Intermediate level fit · Popular in your learner group · Well rated (4.3★)
