UserID,total_courses,avg_spending,avg_course_rating,diversity_score,learning_depth_index,beginner_ratio,enrollment_frequency,category_concentration,n_categories,recency_days,preferred_category_enc,preferred_level_enc
P0001,18,761.4033333333333,4.266666666666667,6,0.4166666666666667,0.2777777777777778,0.013719512195121951,0.25,6,99,1,2
P0002,16,674.87875,4.475,6,0.375,0.375,0.01098901098901099,0.25,6,2,3,2
P0003,15,734.3260000000001,4.446666666666667,6,0.3333333333333333,0.5333333333333333,0.011691348402182385,0.25,6,80,4,1
P0004,1,654.71,3.7,1,0.5,0.0,1.0,0.875,1,708,3,2
P0005,11,1048.391818181818,4.2272727272727275,5,0.9090909090909091,0.0,0.008239700374531835,0.375,5,30,2,0
P0006,9,984.0677777777778,4.288888888888889,2,0.8333333333333334,0.1111111111111111,0.006731488406881077,0.75,2,64,2,0
P0007,15,1123.6873333333335,4.36,5,0.8,0.06666666666666667,0.013927576601671309,0.375,5,68,2,0
P0008,6,1049.885,4.066666666666666,4,0.75,0.0,0.00816326530612245,0.5,4,33,4,2
P0009,19,792.2142105263158,4.28421052631579,6,0.5789473684210527,0.05263157894736842,0.01342756183745583,0.25,6,10,4,2
P0010,16,792.220625,4.35625,6,0.53125,0.125,0.01173881144534116,0.25,6,99,0,2
P0011,24,660.2654166666667,4.404166666666667,5,0.3541666666666667,0.4583333333333333,0.019077901430842606,0.375,5,173,3,1
P0012,26,605.3934615384616,4.288461538461538,6,0.21153846153846154,0.6923076923076923,0.02017067494181536,0.25,6,96,2,1
P0013,3,811.07,4.266666666666667,3,0.3333333333333333,0.3333333333333333,0.006024096385542169,0.625,3,803,4,2
P0014,21,726.0114285714286,4.414285714285715,6,0.5,0.23809523809523808,0.014872521246458924,0.25,6,48,0,2
P0015,11,812.1845454545455,4.327272727272727,5,0.45454545454545453,0.18181818181818182,0.009345794392523364,0.375,5,32,0,2
P0016,15,724.0113333333334,4.2733333333333325,5,0.43333333333333335,0.13333333333333333,0.011244377811094454,0.375,5,63,4,2
P0017,17,789.755294117647,4.358823529411764,6,0.5588235294117647,0.11764705882352941,0.012073863636363636,0.25,6,8,2,2
P0018,4,1150.5525,4.6,4,1.0,0.0,0.0034423407917383822,0.5,4,34,5,0
