UserID,total_courses,total_transactions,total_spending,avg_spending,min_spending,max_spending,avg_course_rating,n_categories,first_enroll,last_enroll,preferred_category,preferred_level,Beginner,Intermediate,Advanced,Age,Gender,enrollment_frequency,recency_days,diversity_score,category_concentration,learning_depth_index,beginner_ratio,advanced_ratio,preferred_category_enc,preferred_level_enc
U0001,19,19,3174.7,167.0894736842105,36.81,278.97,4.273684210526316,8,2022-04-19,2025-11-26,Technology,Intermediate,8,8,3,56,Female,0.014415781487101669,36,8,0.0,0.3684210526315789,0.42105263157894735,0.15789473684210525,7,2
U0002,11,11,2356.88,214.2618181818182,56.94,294.7,4.3545454545454545,7,2022-01-07,2025-05-23,Design,Beginner,5,4,2,46,Male,0.008921330089213302,223,7,0.125,0.36363636363636365,0.45454545454545453,0.18181818181818182,3,1
U0003,12,12,2028.92,169.07666666666668,37.46,281.29,4.058333333333334,5,2022-03-10,2025-09-08,Data Science,Beginner,6,5,1,32,Male,0.009382329945269743,115,5,0.375,0.2916666666666667,0.5,0.08333333333333333,2,1
U0004,13,13,2259.34,173.79538461538462,62.94,298.82,4.1923076923076925,5,2022-02-22,2025-06-12,Technology,Beginner,6,3,4,60,Female,0.010770505385252692,203,5,0.375,0.4230769230769231,0.46153846153846156,0.3076923076923077,7,1
U0005,14,14,2515.17,179.655,93.63,264.79,4.0928571428571425,8,2022-01-24,2025-09-09,Design,Intermediate,4,7,3,25,Male,0.010566037735849057,114,8,0.0,0.4642857142857143,0.2857142857142857,0.21428571428571427,3,2
U0006,9,9,1369.54,152.17111111111112,82.71,280.93,3.9000000000000004,5,2023-07-12,2025-07-18,Business,Beginner,4,4,1,38,Female,0.012195121951219513,167,5,0.375,0.3333333333333333,0.4444444444444444,0.1111111111111111,1,1
U0007,1,1,42.64,42.64,42.64,42.64,3.4,1,2025-09-22,2025-09-22,Design,Beginner,1,0,0,56,Female,1.0,101,1,0.875,0.0,1.0,0.0,3,1
U0008,19,19,3674.27,193.38263157894735,57.42,285.88,4.163157894736842,7,2022-01-04,2025-04-22,Technology,Beginner,9,6,4,36,Male,0.015767634854771784,254,7,0.125,0.3684210526315789,0.47368421052631576,0.21052631578947367,7,1
U0009,17,17,2854.64,167.92,49.3,284.14,4.276470588235294,8,2022-04-11,2025-10-25,Technology,Beginner,7,6,4,40,Male,0.01313755795981453,68,8,0.0,0.4117647058823529,0.4117647058823529,0.23529411764705882,7,1
U0010,18,18,2980.01,165.55611111111114,58.95,293.24,4.105555555555556,6,2022-01-18,2025-12-10,Data Science,Intermediate,7,7,4,28,Male,0.012649332396345749,22,6,0.25,0.4166666666666667,0.3888888888888889,0.2222222222222222,2,2
U0011,15,15,2650.32,176.68800000000002,63.45,274.58,3.9866666666666664,8,2022-01-26,2025-01-16,Technology,Intermediate,6,6,3,28,Female,0.013799448022079117,350,8,0.0,0.4,0.4,0.2,7,2
U0012,1,1,173.25,173.25,173.25,173.25,4.7,1,2022-02-14,2022-02-14,Technology,Beginner,1,0,0,41,Male,1.0,1417,1,0.875,0.0,1.0,0.0,7,1
U0013,13,13,2505.56,192.73538461538462,95.05,282.56,4.276923076923077,6,2022-05-13,2025-11-26,Business,Intermediate,3,6,4,53,Male,0.010046367851622875,36,6,0.25,0.5384615384615384,0.23076923076923078,0.3076923076923077,1,2
U0014,17,17,2287.13,134.5370588235294,47.77,251.18,3.9647058823529413,6,2022-06-09,2025-04-06,Technology,Beginner,11,4,2,57,Male,0.016456921587608905,270,6,0.25,0.23529411764705882,0.6470588235294118,0.11764705882352941,7,1
U0015,2,2,406.1,203.05,152.51,253.59,4.15,2,2022-08-05,2025-09-09,Health & Wellness,Intermediate,1,1,0,41,Female,0.0017667844522968198,114,2,0.75,0.25,0.5,0.0,5,2
U0016,7,7,1375.99,196.57,101.97,292.4,4.1,4,2022-04-17,2025-08-02,Finance,Beginner,4,2,1,20,Male,0.005813953488372093,152,4,0.5,0.2857142857142857,0.5714285714285714,0.14285714285714285,4,1
U0017,10,10,1860.79,186.079,68.68,292.27,4.17,5,2022-01-16,2025-09-28,Technology,Beginner,6,3,1,39,Male,0.0073964497041420114,95,5,0.375,0.25,0.6,0.1,7,1
U0018,9,9,1732.62,192.51333333333332,77.82,270.58,4.022222222222222,5,2022-05-24,2025-04-05,Data Science,Intermediate,1,5,3,19,Female,0.008587786259541985,271,5,0.375,0.6111111111111112,0.1111111111111111,0.3333333333333333,2,2
U0019,3,3,671.85,223.95000000000002,99.35,298.91,3.9,2,2022-12-14,2025-06-12,Business,Intermediate,1,2,0,41,Non-Binary,0.003289473684210526,203,2,0.75,0.3333333333333333,0.3333333333333333,0.0,1,2
U0020,13,13,2199.15,169.16538461538462,29.29,291.16,3.792307692307692,6,2022-02-07,2025-11-29,Data Science,Beginner,6,6,1,61,Male,0.009339080459770116,33,6,0.25,0.3076923076923077,0.46153846153846156,0.07692307692307693,2,1
U0021,6,6,1234.17,205.69500000000002,77.68,284.16,4.483333333333333,5,2022-05-13,2025-07-09,Data Science,Intermediate,1,5,0,47,Male,0.005199306759098787,176,5,0.375,0.4166666666666667,0.16666666666666666,0.0,2,2
U0022,22,22,3789.6,172.25454545454545,46.37,281.93,4.031818181818182,8,2022-01-13,2025-07-26,Data Science,Beginner,14,7,1,55,Male,0.017041053446940357,159,8,0.0,0.20454545454545456,0.6363636363636364,0.045454545454545456,2,1
U0023,18,18,3828.54,212.69666666666666,32.4,296.73,4.111111111111111,7,2022-01-29,2025-06-18,Technology,Intermediate,6,9,3,19,Female,0.014551333872271624,197,7,0.125,0.4166666666666667,0.3333333333333333,0.16666666666666666,7,2
U0024,13,13,2508.65,192.97307692307692,71.58,295.32,3.930769230769231,7,2022-03-19,2025-07-27,Technology,Beginner,7,4,2,38,Male,0.010594947025264874,158,7,0.125,0.3076923076923077,0.5384615384615384,0.15384615384615385,7,1
U0025,11,11,1912.83,173.89363636363635,56.11,298.73,4.036363636363636,6,2022-04-20,2025-12-22,Business,Beginner,7,3,1,50,Female,0.008190618019359643,10,6,0.25,0.22727272727272727,0.6363636363636364,0.09090909090909091,1,1
U0026,13,13,1719.05,132.23461538461538,30.16,297.66,4.223076923076923,6,2022-05-10,2025-11-08,Data Science,Intermediate,4,8,1,29,Female,0.010164190774042221,54,6,0.25,0.38461538461538464,0.3076923076923077,0.07692307692307693,2,2
U0027,3,3,549.61,183.20333333333335,49.97,281.04,4.5,2,2022-05-03,2023-05-16,Health & Wellness,Beginner,2,1,0,39,Female,0.0079155672823219,961,2,0.75,0.16666666666666666,0.6666666666666666,0.0,5,1
